user_id,as_of_date,recency_days,frequency_30d,frequency_60d,frequency_90d,frequency_120d,monetary_30d,monetary_60d,monetary_90d,monetary_120d,avg_basket_value_60d,avg_basket_value_90d,avg_basket_value_120d,country,label_net_revenue_60d,label_net_revenue_90d,label_net_revenue_30d,label_purchase_60d,label_purchase_90d,label_purchase_30d
12349,2009-12-09,9999,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0
12358,2009-12-09,1,1,1,1,1,1429.83,1429.83,1429.83,1429.83,1429.83,1429.83,1429.83,Austria,0.0,0.0,0.0,0.0,0.0,0.0
12359,2009-12-09,4,1,1,1,1,760.69,760.69,760.69,760.69,760.69,760.69,760.69,Cyprus,78.2,415.94000000000005,78.2,1.0,1.0,1.0
12362,2009-12-09,8,1,1,1,1,130.0,130.0,130.0,130.0,130.0,130.0,130.0,Belgium,0.0,0.0,0.0,0.0,0.0,0.0
12417,2009-12-09,3,1,1,1,1,309.1,309.1,309.1,309.1,309.1,309.1,309.1,Belgium,413.05000000000007,891.5899999999999,413.05000000000007,1.0,1.0,1.0
12424,2009-12-09,9999,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0
12435,2009-12-09,7,1,1,1,1,1008.0,1008.0,1008.0,1008.0,1008.0,1008.0,1008.0,Denmark,0.0,0.0,0.0,0.0,0.0,0.0
12437,2009-12-09,7,1,1,1,1,578.28,578.28,578.28,578.28,578.28,578.28,578.28,France,609.7800000000001,2829.45,0.0,1.0,1.0,0.0
12443,2009-12-09,2,1,1,1,1,485.31,485.31,485.31,485.31,485.31,485.31,485.31,Norway,0.0,0.0,0.0,0.0,0.0,0.0
12471,2009-12-09,2,2,2,2,2,1176.02,1176.02,1176.02,1176.02,588.01,588.01,588.01,Germany,3126.64,4017.8399999999992,2105.2,1.0,1.0,1.0
12472,2009-12-09,9999,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN,1286.43,2731.03,1286.43,1.0,1.0,1.0
12484,2009-12-09,9999,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN,660.15,705.15,0.0,1.0,1.0,0.0
12487,2009-12-09,0,1,1,1,1,285.3,285.3,285.3,285.3,285.3,285.3,285.3,Sweden,0.0,0.0,0.0,0.0,0.0,0.0
12490,2009-12-09,8,1,1,1,1,603.94,603.94,603.94,603.94,603.94,603.94,603.94,France,371.26,1508.0700000000002,0.0,1.0,1.0,0.0
12510,2009-12-09,5,1,1,1,1,435.88,435.88,435.88,435.88,435.88,435.88,435.88,Spain,2548.45,2548.45,0.0,1.0,1.0,0.0
12523,2009-12-09,2,1,1,1,1,74.56,74.56,74.56,74.56,74.56,74.56,74.56,France,0.0,537.1800000000001,0.0,0.0,1.0,0.0
12525,2009-12-09,9999,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN,0.0,566.43,0.0,0.0,1.0,0.0
12533,2009-12-09,8,1,1,1,1,929.92,929.92,929.92,929.92,929.92,929.92,929.92,Germany,0.0,0.0,0.0,0.0,0.0,0.0
12540,2009-12-09,2,1,1,1,1,412.6,412.6,412.6,412.6,412.6,412.6,412.6,Spain,1252.28,1691.0799999999997,0.0,1.0,1.0,0.0
12577,2009-12-09,6,1,1,1,1,210.55,210.55,210.55,210.55,210.55,210.55,210.55,France,0.0,0.0,0.0,0.0,0.0,0.0
12583,2009-12-09,3,1,1,1,1,817.44,817.44,817.44,817.44,817.44,817.44,817.44,France,0.0,592.05,0.0,0.0,1.0,0.0
12600,2009-12-09,2,1,1,1,1,285.9,285.9,285.9,285.9,285.9,285.9,285.9,Germany,637.0999999999999,847.1700000000001,147.99,1.0,1.0,1.0
12615,2009-12-09,9999,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0
12636,2009-12-09,8,1,1,1,1,141.0,141.0,141.0,141.0,141.0,141.0,141.0,USA,0.0,0.0,0.0,0.0,0.0,0.0
12677,2009-12-09,9999,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN,0.0,190.70000000000002,0.0,0.0,1.0,0.0
12682,2009-12-09,1,2,2,2,2,934.2,934.2,934.2,934.2,467.1,467.1,467.1,France,1707.31,3360.17,138.75,1.0,1.0,1.0
12705,2009-12-09,9999,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0
12709,2009-12-09,0,2,2,2,2,1412.68,1412.68,1412.68,1412.68,706.34,706.34,706.34,Germany,1939.1200000000001,1939.1200000000001,0.0,1.0,1.0,0.0
12712,2009-12-09,0,1,1,1,1,333.8,333.8,333.8,333.8,333.8,333.8,333.8,Germany,228.58,228.58,0.0,1.0,1.0,0.0
12714,2009-12-09,5,1,1,1,1,682.65,682.65,682.65,682.65,682.65,682.65,682.65,France,1970.19,1970.19,1970.19,1.0,1.0,1.0
12746,2009-12-09,9999,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0
12747,2009-12-09,0,2,2,2,2,683.85,683.85,683.85,683.85,341.925,341.925,341.925,United Kingdom,348.15,819.04,348.15,1.0,1.0,1.0
12748,2009-12-09,5,1,1,1,1,205.35,205.35,205.35,205.35,205.35,205.35,205.35,United Kingdom,3154.0600000000004,4082.5800000000004,1625.86,1.0,1.0,1.0
12755,2009-12-09,9999,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN,2.95,37.01,0.0,1.0,1.0,0.0
12758,2009-12-09,8,1,1,1,1,2454.68,2454.68,2454.68,2454.68,2454.68,2454.68,2454.68,Portugal,0.0,0.0,0.0,0.0,0.0,0.0
12759,2009-12-09,5,1,1,1,1,508.26,508.26,508.26,508.26,508.26,508.26,508.26,Netherlands,0.0,0.0,0.0,0.0,0.0,0.0
12779,2009-12-09,6,1,1,1,1,371.82,371.82,371.82,371.82,371.82,371.82,371.82,Poland,0.0,318.86,0.0,0.0,1.0,0.0
12785,2009-12-09,1,1,1,1,1,366.9,366.9,366.9,366.9,366.9,366.9,366.9,Portugal,0.0,0.0,0.0,0.0,0.0,0.0
12820,2009-12-09,4,1,1,1,1,148.3,148.3,148.3,148.3,148.3,148.3,148.3,United Kingdom,334.98999999999995,706.55,0.0,1.0,1.0,0.0
12835,2009-12-09,5,2,2,2,2,479.62,479.62,479.62,479.62,239.81,239.81,239.81,United Kingdom,1231.8500000000001,2002.7,852.3800000000001,1.0,1.0,1.0
12836,2009-12-09,8,1,1,1,1,407.97,407.97,407.97,407.97,407.97,407.97,407.97,United Kingdom,260.0,600.35,0.0,1.0,1.0,0.0
12839,2009-12-09,2,1,1,1,1,346.0,346.0,346.0,346.0,346.0,346.0,346.0,United Kingdom,749.08,1051.6,623.78,1.0,1.0,1.0
12842,2009-12-09,7,1,1,1,1,397.2,397.2,397.2,397.2,397.2,397.2,397.2,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
12872,2009-12-09,6,1,1,1,1,407.22,407.22,407.22,407.22,407.22,407.22,407.22,United Kingdom,240.32999999999998,833.9,0.0,1.0,1.0,0.0
12896,2009-12-09,9999,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0
12913,2009-12-09,2,2,2,2,2,741.96,741.96,741.96,741.96,370.98,370.98,370.98,United Kingdom,478.77,478.77,0.0,1.0,1.0,0.0
12917,2009-12-09,0,1,1,1,1,1552.9,1552.9,1552.9,1552.9,1552.9,1552.9,1552.9,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
12921,2009-12-09,0,3,3,3,3,1775.05,1775.05,1775.05,1775.05,591.6833,591.6833,591.6833,United Kingdom,1549.32,2098.8199999999997,668.65,1.0,1.0,1.0
12924,2009-12-09,0,2,2,2,2,209.55,209.55,209.55,209.55,104.775,104.775,104.775,United Kingdom,70.8,70.8,70.8,1.0,1.0,1.0
12931,2009-12-09,6,2,2,2,2,1268.75,1268.75,1268.75,1268.75,634.375,634.375,634.375,United Kingdom,505.2,1701.2,0.0,1.0,1.0,0.0
12934,2009-12-09,6,1,1,1,1,181.65,181.65,181.65,181.65,181.65,181.65,181.65,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
12937,2009-12-09,6,1,1,1,1,170.06,170.06,170.06,170.06,170.06,170.06,170.06,United Kingdom,144.51,144.51,144.51,1.0,1.0,1.0
12948,2009-12-09,0,2,2,2,2,252.48,252.48,252.48,252.48,126.24,126.24,126.24,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
12949,2009-12-09,6,1,1,1,1,1794.7,1794.7,1794.7,1794.7,1794.7,1794.7,1794.7,United Kingdom,1431.2699999999998,1874.3300000000002,0.0,1.0,1.0,0.0
12970,2009-12-09,5,1,1,1,1,237.99,237.99,237.99,237.99,237.99,237.99,237.99,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
12975,2009-12-09,3,1,1,1,1,441.63,441.63,441.63,441.63,441.63,441.63,441.63,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
12980,2009-12-09,7,1,1,1,1,754.2,754.2,754.2,754.2,754.2,754.2,754.2,United Kingdom,726.6,1837.0800000000002,0.0,1.0,1.0,0.0
13001,2009-12-09,6,1,1,1,1,869.93,869.93,869.93,869.93,869.93,869.93,869.93,United Kingdom,1051.9199999999998,2323.3599999999997,0.0,1.0,1.0,0.0
13019,2009-12-09,3,1,1,1,1,255.0,255.0,255.0,255.0,255.0,255.0,255.0,United Kingdom,190.29999999999998,190.29999999999998,190.29999999999998,1.0,1.0,1.0
13021,2009-12-09,4,1,1,1,1,233.71,233.71,233.71,233.71,233.71,233.71,233.71,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
13025,2009-12-09,1,1,1,1,1,323.39,323.39,323.39,323.39,323.39,323.39,323.39,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
13037,2009-12-09,6,1,1,1,1,313.19,313.19,313.19,313.19,313.19,313.19,313.19,United Kingdom,291.5,1036.3600000000001,0.0,1.0,1.0,0.0
13042,2009-12-09,2,1,1,1,1,665.15,665.15,665.15,665.15,665.15,665.15,665.15,United Kingdom,307.55,307.55,0.0,1.0,1.0,0.0
13070,2009-12-09,2,1,1,1,1,154.2,154.2,154.2,154.2,154.2,154.2,154.2,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
13078,2009-12-09,1,2,2,2,2,1278.83,1278.83,1278.83,1278.83,639.415,639.415,639.415,United Kingdom,2466.9,2823.4,1506.0,1.0,1.0,1.0
13081,2009-12-09,1,1,1,1,1,2285.58,2285.58,2285.58,2285.58,2285.58,2285.58,2285.58,United Kingdom,3677.9,4687.84,3677.9,1.0,1.0,1.0
13085,2009-12-09,6,4,4,4,4,1096.8,1096.8,1096.8,1096.8,274.2,274.2,274.2,United Kingdom,920.4,920.4,0.0,1.0,1.0,0.0
13089,2009-12-09,2,2,2,2,2,1612.42,1612.42,1612.42,1612.42,806.21,806.21,806.21,United Kingdom,4781.95,9413.54,1516.08,1.0,1.0,1.0
13091,2009-12-09,9999,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN,1976.0000000000005,1976.0000000000005,1976.0000000000005,1.0,1.0,1.0
13093,2009-12-09,5,2,2,2,2,993.47,993.47,993.47,993.47,496.735,496.735,496.735,United Kingdom,3172.2799999999997,5773.2,950.0,1.0,1.0,1.0
13097,2009-12-09,0,2,2,2,2,1073.63,1073.63,1073.63,1073.63,536.815,536.815,536.815,United Kingdom,696.92,1904.36,164.1,1.0,1.0,1.0
13107,2009-12-09,9999,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN,606.3000000000001,606.3000000000001,0.0,1.0,1.0,0.0
13110,2009-12-09,8,1,1,1,1,362.78,362.78,362.78,362.78,362.78,362.78,362.78,United Kingdom,189.3,343.02,0.0,1.0,1.0,0.0
13112,2009-12-09,9999,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0
13114,2009-12-09,0,1,1,1,1,234.38,234.38,234.38,234.38,234.38,234.38,234.38,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
13136,2009-12-09,1,1,1,1,1,549.09,549.09,549.09,549.09,549.09,549.09,549.09,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
13141,2009-12-09,0,1,1,1,1,351.45,351.45,351.45,351.45,351.45,351.45,351.45,United Kingdom,1380.33,1380.33,0.0,1.0,1.0,0.0
13148,2009-12-09,2,1,1,1,1,331.4,331.4,331.4,331.4,331.4,331.4,331.4,United Kingdom,512.5,1212.98,0.0,1.0,1.0,0.0
13154,2009-12-09,5,1,1,1,1,337.1,337.1,337.1,337.1,337.1,337.1,337.1,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
13162,2009-12-09,5,1,1,1,1,694.2,694.2,694.2,694.2,694.2,694.2,694.2,United Kingdom,2825.51,2825.51,891.41,1.0,1.0,1.0
13174,2009-12-09,5,1,1,1,1,630.39,630.39,630.39,630.39,630.39,630.39,630.39,United Kingdom,916.78,1555.34,0.0,1.0,1.0,0.0
13175,2009-12-09,5,1,1,1,1,319.15,319.15,319.15,319.15,319.15,319.15,319.15,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
13190,2009-12-09,2,1,1,1,1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,United Kingdom,214.95000000000002,214.95000000000002,0.0,1.0,1.0,0.0
13199,2009-12-09,4,1,1,1,1,138.24,138.24,138.24,138.24,138.24,138.24,138.24,United Kingdom,382.32,709.94,382.32,1.0,1.0,1.0
13202,2009-12-09,0,1,1,1,1,320.2,320.2,320.2,320.2,320.2,320.2,320.2,United Kingdom,0.0,174.1,0.0,0.0,1.0,0.0
13204,2009-12-09,1,1,1,1,1,966.66,966.66,966.66,966.66,966.66,966.66,966.66,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
13206,2009-12-09,2,1,1,1,1,1028.07,1028.07,1028.07,1028.07,1028.07,1028.07,1028.07,United Kingdom,3805.91,3970.61,2228.8,1.0,1.0,1.0
13208,2009-12-09,6,1,1,1,1,61.12,61.12,61.12,61.12,61.12,61.12,61.12,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
13211,2009-12-09,3,1,1,1,1,235.84,235.84,235.84,235.84,235.84,235.84,235.84,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0
